I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
training #: 10548 testing #: 1463
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla K40c
major: 3 minor: 5 memoryClockRate (GHz) 0.745
pciBusID 0000:07:00.0
Total memory: 11.17GiB
Free memory: 11.10GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K40c, pci bus id: 0000:07:00.0)
training error: 2751, training loss: 7445.10722656, Testing error: 657, loss: 12250.7871094
training error: 4219, training loss: 7429.0152832, Testing error: 813, loss: 12248.3222656
training error: 2777, training loss: 7419.68876953, Testing error: 661, loss: 12244.1201172
training error: 3843, training loss: 7399.79091797, Testing error: 781, loss: 12248.3857422
training error: 2325, training loss: 7378.23188477, Testing error: 607, loss: 12238.6992188
training error: 3379, training loss: 7361.49882812, Testing error: 763, loss: 12239.0146484
training error: 3072, training loss: 7349.45415039, Testing error: 703, loss: 12241.7460938
training error: 3122, training loss: 7325.48725586, Testing error: 703, loss: 12238.0205078
training error: 3404, training loss: 7309.04570313, Testing error: 741, loss: 12238.5605469
training error: 3095, training loss: 7300.32387695, Testing error: 721, loss: 12234.4482422
training error: 2976, training loss: 7286.92666016, Testing error: 687, loss: 12232.7626953
training error: 3611, training loss: 7271.00307617, Testing error: 755, loss: 12238.2246094
training error: 2912, training loss: 7253.94018555, Testing error: 685, loss: 12233.5410156
training error: 2686, training loss: 7235.45463867, Testing error: 661, loss: 12231.1787109
training error: 3055, training loss: 7222.32148437, Testing error: 713, loss: 12226.2246094
training error: 4455, training loss: 7210.38256836, Testing error: 835, loss: 12235.3701172
training error: 5065, training loss: 7191.82915039, Testing error: 939, loss: 12241.5957031
training error: 5667, training loss: 7167.31313477, Testing error: 995, loss: 12244.3271484
training error: 3714, training loss: 7159.67612305, Testing error: 791, loss: 12232.0341797
training error: 3503, training loss: 7143.79365234, Testing error: 773, loss: 12230.3222656
training error: 2762, training loss: 7119.44511719, Testing error: 675, loss: 12225.6171875
training error: 2648, training loss: 7111.5753418, Testing error: 653, loss: 12223.6777344
training error: 3518, training loss: 7094.76884766, Testing error: 745, loss: 12229.7666016
training error: 4249, training loss: 7079.01499023, Testing error: 821, loss: 12226.6240234
training error: 3028, training loss: 7065.92275391, Testing error: 721, loss: 12223.359375
training error: 2821, training loss: 7046.2112793, Testing error: 667, loss: 12220.1435547
training error: 2707, training loss: 7024.81064453, Testing error: 671, loss: 12222.3564453
training error: 2200, training loss: 7011.91689453, Testing error: 611, loss: 12218.1904297
training error: 2444, training loss: 6993.2159668, Testing error: 647, loss: 12218.1025391
training error: 4431, training loss: 6976.10297852, Testing error: 897, loss: 12230.7441406
training error: 2620, training loss: 6964.12275391, Testing error: 647, loss: 12226.7167969
training error: 3251, training loss: 6953.76308594, Testing error: 715, loss: 12223.3173828
training error: 2639, training loss: 6929.50610352, Testing error: 669, loss: 12212.5058594
training error: 3019, training loss: 6929.13696289, Testing error: 699, loss: 12216.0039062
training error: 3315, training loss: 6906.6715332, Testing error: 759, loss: 12222.7714844
training error: 5158, training loss: 6883.24667969, Testing error: 969, loss: 12239.4785156
training error: 2874, training loss: 6872.17861328, Testing error: 695, loss: 12224.0166016
training error: 2642, training loss: 6853.17285156, Testing error: 667, loss: 12220.5039062
training error: 2631, training loss: 6843.31206055, Testing error: 667, loss: 12222.3544922
training error: 2777, training loss: 6829.96254883, Testing error: 685, loss: 12221.7822266
training error: 3303, training loss: 6806.23994141, Testing error: 741, loss: 12229.2587891
training error: 2360, training loss: 6800.15332031, Testing error: 631, loss: 12222.6337891
training error: 2564, training loss: 6782.29609375, Testing error: 653, loss: 12226.5087891
training error: 2583, training loss: 6763.3043457, Testing error: 655, loss: 12233.6738281
training error: 3112, training loss: 6746.78081055, Testing error: 721, loss: 12234.6308594
training error: 3221, training loss: 6739.31855469, Testing error: 727, loss: 12237.3583984
training error: 2345, training loss: 6716.2765625, Testing error: 633, loss: 12231.0146484
training error: 5228, training loss: 6705.54443359, Testing error: 971, loss: 12247.4746094
training error: 3137, training loss: 6689.67724609, Testing error: 723, loss: 12242.1845703
training error: 2579, training loss: 6669.74584961, Testing error: 659, loss: 12240.7392578
training error: 3852, training loss: 6662.82036133, Testing error: 835, loss: 12250.4726562
training error: 6198, training loss: 6649.31411133, Testing error: 1079, loss: 12267.5576172
training error: 4083, training loss: 6631.22739258, Testing error: 809, loss: 12252.6699219
training error: 4101, training loss: 6621.58842773, Testing error: 845, loss: 12254.3427734
training error: 2997, training loss: 6600.95214844, Testing error: 723, loss: 12255.3701172
training error: 3508, training loss: 6585.82861328, Testing error: 755, loss: 12257.4277344
training error: 2906, training loss: 6577.6953125, Testing error: 689, loss: 12248.3652344
training error: 2985, training loss: 6557.45317383, Testing error: 707, loss: 12254.796875
training error: 3311, training loss: 6542.73354492, Testing error: 761, loss: 12259.6738281
training error: 2704, training loss: 6524.01650391, Testing error: 677, loss: 12253.34375
training error: 3222, training loss: 6511.15039062, Testing error: 741, loss: 12257.0185547
training error: 3734, training loss: 6510.54833984, Testing error: 813, loss: 12266.3017578
training error: 3273, training loss: 6491.11323242, Testing error: 753, loss: 12264.8564453
training error: 2660, training loss: 6483.43110352, Testing error: 667, loss: 12256.8251953
training error: 2443, training loss: 6462.0671875, Testing error: 653, loss: 12258.3847656
training error: 2690, training loss: 6453.85209961, Testing error: 685, loss: 12257.8818359
training error: 2527, training loss: 6446.21132812, Testing error: 669, loss: 12263.2519531
training error: 3018, training loss: 6423.80561523, Testing error: 739, loss: 12259.1445312
training error: 2193, training loss: 6419.44145508, Testing error: 625, loss: 12251.8779297
training error: 2805, training loss: 6409.75498047, Testing error: 721, loss: 12261.3222656
training error: 2323, training loss: 6390.13037109, Testing error: 641, loss: 12251.6230469
training error: 2498, training loss: 6385.49589844, Testing error: 677, loss: 12255.5800781
training error: 3740, training loss: 6366.72631836, Testing error: 795, loss: 12252.9423828
training error: 2772, training loss: 6357.10415039, Testing error: 703, loss: 12245.0576172
training error: 2882, training loss: 6340.11367188, Testing error: 697, loss: 12240.4404297
training error: 2502, training loss: 6335.38100586, Testing error: 679, loss: 12237.3564453
